id,company,title,domain,city,state,location,type,stipend,duration,skills,applications,rating,openings,posted_date,deadline,demand_score,growth_trend,source,is_live
841732732,Workwize,Security Specialist Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,30000,3 Months,"security, saas",1388,4.0,10,2026-02-19,2026-03-22,87.6,14.5,RemoteOK,True
57375523,dv01,Backend Engineer Intern,Backend Development,Remote,Global,"Remote, Global",Remote,30000,6 Months,"saas, financial, investment, api, analytics, engineer, backend",1737,4.4,1,2026-02-19,2026-03-22,69.5,8.7,RemoteOK,True
192829153,Apogee Therapeutics,QA Document Control Specialist Intern,Software Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"qa, engineering",507,4.3,4,2026-02-19,2026-03-22,76.4,18.5,RemoteOK,True
733796150,CompassX Group,Workday Enterprise Project Manager Intern,Web Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"manager, hr, system, consulting, technical, testing, financial, strategy",2975,4.1,5,2026-02-19,2026-03-22,73.1,8.8,RemoteOK,True
3012172950,"Coupa Software, Inc.",Coupa Pay Customer Success Manager 11184 Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,50000,6 Months,"manager, consulting, technical, software, growth, financial, investment, finance",836,4.9,5,2026-02-19,2026-03-22,53.3,10.8,RemoteOK,True
3466283659,Swayable,Research Data Scientist Intern,Data Science,Remote,Global,"Remote, Global",Remote,20000,3 Months,"python, growth, director, strategy, content, executive",2506,4.2,5,2026-02-19,2026-03-22,89.3,23.9,RemoteOK,True
296988913,Caylent,Project Coordinator Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,20000,3 Months,"amazon, security, technical, coordinator, web, scrum, cloud, management",265,4.9,4,2026-02-19,2026-03-22,44.2,8.7,RemoteOK,True
3629670423,Oasis Security,Regional Account Executive Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,25000,6 Months,"infosec, system, security, management, sales, executive",2572,3.9,8,2026-02-19,2026-03-22,56.7,15.9,RemoteOK,True
1238640612,DataHub,Senior Software Engineer Data Observability Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,15000,6 Months,"software, design, saas, system, architect, technical, cloud, lead",551,4.9,9,2026-02-19,2026-03-22,77.2,11.3,RemoteOK,True
4073165468,Cloud Accountant Staffing,US Client Accounting Advisor Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,125,6 Months,"accounting, training, support, bookkeeping, financial, cloud, microsoft, operational",2214,4.1,6,2026-02-19,2026-03-22,60.4,6.4,RemoteOK,True
1331235711,Vitable Health,Marketing Specialist Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,25000,6 Months,"content, operational, marketing, sales, medical, health, healthcare, non tech",2376,4.4,1,2026-02-19,2026-03-22,86.9,24.5,RemoteOK,True
2457459182,ZipRecruiter,Enterprise Customer Success Manager Intern,Mobile Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"manager, ios, support, mobile, strategy, sales, recruiting, recruitment",985,5.0,1,2026-02-19,2026-03-22,65.2,13.2,RemoteOK,True
2029023249,Engineers Gate,Portfolio Manager Intern,Software Development,Remote,Global,"Remote, Global",Remote,18750,6 Months,"manager, support, test, code, financial, investment, strategy, operational",2760,4.5,8,2026-02-19,2026-03-22,83.6,24.4,RemoteOK,True
2484639646,Blytheco,Associate Strategy Analyst Intern,Software Development,Remote,Global,"Remote, Global",Remote,30000,3 Months,"analyst, ceo, software, leader, strategy",238,4.5,4,2026-02-19,2026-03-22,53.6,16.8,RemoteOK,True
212603353,CrowdRiff,Business Development Representative Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,25000,6 Months,"saas, teach, consult, support, software, travel, marketing, sales",2119,3.8,7,2026-02-19,2026-03-22,75.7,18.3,RemoteOK,True
2184911762,FormativGroup,Senior Technical Consultant Charles River Everywhere Intern,Data Science,Remote,Global,"Remote, Global",Remote,15000,3 Months,"consultant, system, technical, support, management, senior, operations, operational",1401,4.5,6,2026-02-19,2026-03-22,80.7,29.8,RemoteOK,True
1996356231,Workleap,Talent Acquisition Specialist Early Pipeline & Sourcing Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,20000,6 Months,"hr, microsoft, recruitment",443,4.0,9,2026-02-19,2026-03-22,75.1,26.8,RemoteOK,True
3867363011,Unlimit,Sales Development Representative Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,40000,6 Months,"crypto, support, financial, fintech, sales, go, recruiting",2754,4.9,7,2026-02-19,2026-03-22,62.1,13.2,RemoteOK,True
447154051,Stand Together,KIP Summer 2026 Research Assistant Finance Insurance &amp; Trade Policy R Street Institute Intern,Data Science,Remote,Global,"Remote, Global",Remote,15000,3 Months,"assistant, training, support, financial, finance, excel, internship, full-time",1149,3.8,7,2026-02-19,2026-03-22,46.6,23.3,RemoteOK,True
2846333096,Pulley,Senior Content Program Strategist Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,40000,6 Months,"system, strategist, management, content, senior, marketing",141,4.6,1,2026-02-19,2026-03-22,77.4,11.6,RemoteOK,True
287479142,itD Tech,Software Engineer Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,20000,3 Months,"software, design, python, training, support, engineer, digital nomad",2580,4.4,7,2026-02-19,2026-03-22,56.9,19.6,RemoteOK,True
62922400,Monks,Senior Manager Digital Strategy Intern,Software Development,Remote,Global,"Remote, Global",Remote,30000,6 Months,"manager, strategy, senior",1455,4.0,4,2026-02-19,2026-03-22,58.1,13.7,RemoteOK,True
4078405859,Remote - Referral Board,Payroll Specialist Lead Germany Intern,Software Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"payroll, hr, software, management, lead, operations, excel",611,4.4,5,2026-02-19,2026-03-22,85.1,25.7,RemoteOK,True
1101894879,Sensor Tower,Data Entry Clerk Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,50000,6 Months,"manager, video, bank, operations, excel, recruitment, non tech",2595,3.9,10,2026-02-18,2026-03-22,43.7,22.5,RemoteOK,True
51099149,Veeam Software,Product & Application Security Engineer Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,40000,3 Months,"security, dev, leader, senior, go, engineer, digital nomad",1600,4.8,8,2026-02-18,2026-03-22,77.9,23.9,RemoteOK,True
273591780,xAI,Personality & Behavior Tutor Intern,Software Development,Remote,Global,"Remote, Global",Remote,25000,3 Months,"tutor, training, technical, support, software, excel, engineering",776,4.7,6,2026-02-18,2026-03-22,69.1,5.7,RemoteOK,True
3542836005,Exadel,Senior Data Engineer Intern,Mobile Development,Remote,Global,"Remote, Global",Remote,50000,3 Months,"jira, salesforce, code, web, education, mobile, management, senior",1679,3.9,4,2026-02-18,2026-03-22,87.8,6.4,RemoteOK,True
3456318694,Formic,Automation Sales Manager Intern,Software Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"manager, support, growth, operational, sales, engineering",2562,4.8,4,2026-02-18,2026-03-22,80.0,6.5,RemoteOK,True
3400162948,Distro,Bilingual Legal Assistant Intern,Web Development,Remote,Global,"Remote, Global",Remote,20000,3 Months,"assistant, legal, non tech",882,4.4,8,2026-02-18,2026-03-22,68.1,15.6,RemoteOK,True
1679689390,Formic,Robotics Field Service Engineer Intern,Software Development,Remote,Global,"Remote, Global",Remote,20000,3 Months,"technical, support, robotics, operations, operational, engineer, engineering",1143,3.9,8,2026-02-18,2026-03-22,75.2,12.9,RemoteOK,True
2895731066,Monzo,Senior Lead Product Designer Operations Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,9791,6 Months,"design, designer, financial, education, bank, lead, senior, operations",1948,4.5,8,2026-02-18,2026-03-22,71.7,13.8,RemoteOK,True
3032053395,Valtech,Data Analyst Intern,Data Science,Remote,Global,"Remote, Global",Remote,40000,6 Months,"analyst, growth",2525,4.6,10,2026-02-18,2026-03-22,65.2,7.7,RemoteOK,True
1303475668,Mex Digital FZE ,QA Engineer Intern,Software Development,Remote,Global,"Remote, Global",Remote,25000,6 Months,"cryptocurrency, technical, developer, testing, test, growth, qa, financial",1729,4.4,3,2026-02-18,2026-03-22,86.9,28.9,RemoteOK,True
3909501101,Stranger Soccer,Specialist Business Development and Projects Intern,Mobile Development,Remote,Global,"Remote, Global",Remote,15000,6 Months,"support, travel, mobile, sales, executive",2912,5.0,5,2026-02-18,2026-03-22,55.2,16.2,RemoteOK,True
2716867448,Cogent Security,Field Marketing Manager Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,30000,3 Months,"infosec, manager, security, exec, leader, strategy, management, marketing",1222,4.0,10,2026-02-18,2026-03-22,80.7,11.2,RemoteOK,True
3875800395,Cogent Security,Manager Paid Social and Digital Acquisition Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,40000,6 Months,"infosec, manager, saas, security, testing, test, marketing",736,4.4,4,2026-02-18,2026-03-22,84.6,15.3,RemoteOK,True
3023493596,BKF Engineers,Regional Lead Civil Engineer Bridge & Structures Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,3 Months,"design, consultant, consulting, technical, recruiter, support, code, travel",2603,4.3,7,2026-02-18,2026-03-22,73.6,29.2,RemoteOK,True
2083590677,Compass Surgical Partners,Senior Manager Payroll Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,40000,3 Months,"manager, payroll, hr, system, training, recruiter, support, testing",1767,5.0,4,2026-02-18,2026-03-22,64.7,23.5,RemoteOK,True
2868575994,Cogent Security,Director of Product Marketing Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,30000,6 Months,"infosec, director, security, technical, web, content, marketing, sales",653,4.4,5,2026-02-18,2026-03-22,51.8,24.1,RemoteOK,True
3781019140,32Co,Team Lead Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,40000,6 Months,"design, designer, support, testing, growth, management, lead, operations",849,3.8,9,2026-02-18,2026-03-22,65.2,16.1,RemoteOK,True
3815336821,EasyLlama,Revenue Operations Manager Intern,Data Science,Remote,Global,"Remote, Global",Remote,11250,3 Months,"manager, saas, hr, training, ceo, support, lead, operations",1891,3.9,9,2026-02-18,2026-03-22,88.5,6.7,RemoteOK,True
1511723230,Ping Identity,Senior Manager Site Reliability Engineer Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,40000,6 Months,"manager, saas, devops, cloud, senior, operations, operational, reliability",1376,4.3,10,2026-02-18,2026-03-22,43.6,17.1,RemoteOK,True
4275670697,Aprio,Manager Tax Controversy Intern,Software Development,Remote,Global,"Remote, Global",Remote,50000,6 Months,"manager, consulting, technical, support, growth, management, lead, full-time",2529,3.8,9,2026-02-18,2026-03-22,80.2,18.6,RemoteOK,True
3136074280,NMI,Content Manager Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,20000,3 Months,"manager, embedded, technical, writer, support, fintech, strategy, lead",2887,4.1,7,2026-02-18,2026-03-22,64.4,19.8,RemoteOK,True
1681864415,"Adverum Biotechnologies, Inc.",Associate Director Program Management Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,40000,6 Months,"director, design, support, qa, strategy, management, operations, operational",1406,3.9,1,2026-02-18,2026-03-22,68.1,28.5,RemoteOK,True
3075452657,Ping Identity,Senior Site Reliability Engineer Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,20000,6 Months,"design, software, devops, cloud, senior, operations, reliability, engineer",1137,4.8,5,2026-02-18,2026-03-22,66.7,23.0,RemoteOK,True
1973721105,Halter,Regional Sales Manager Intern,Software Development,Remote,Global,"Remote, Global",Remote,50000,3 Months,"manager, support, growth, leader, management, junior, operations, sales",2620,4.1,6,2026-02-18,2026-03-22,46.8,19.1,RemoteOK,True
2387339139,Bounteous,Associate Director Adobe Target Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,50000,3 Months,"director, design, security, training, consulting, consultancy, technical, support",831,4.6,3,2026-02-18,2026-03-22,87.6,24.4,RemoteOK,True
713301822,FireMon,Enterprise Account Executive Pacific NW Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,25000,3 Months,"hr, system, security, technical, support, software, growth, banking",364,4.8,9,2026-02-18,2026-03-22,69.1,24.6,RemoteOK,True
3531209962,Cala Health,Full Stack Software Engineer Intern,Frontend Development,Remote,Global,"Remote, Global",Remote,11875,6 Months,"software, frontend, full-stack, medical, engineer, engineering, backend, full-time",759,4.6,4,2026-02-18,2026-03-22,87.9,24.7,RemoteOK,True
2816547993,MinIO,Director of Field and Partner Marketing Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,6 Months,"director, design, architect, web, leader, strategy, lead, marketing",1333,4.9,1,2026-02-18,2026-03-22,65.3,16.3,RemoteOK,True
906545828,"AffirmedRx, PBC",Director PBM Product Strategy and Delivery Intern,Product Management,Remote,Global,"Remote, Global",Remote,50000,6 Months,"director, strategy, health, non tech",1342,4.6,6,2026-02-18,2026-03-22,86.1,24.2,RemoteOK,True
627501148,Diversified Automation,Senior Sales Manager Intern,Software Development,Remote,Global,"Remote, Global",Remote,50000,3 Months,"manager, software, growth, travel, microsoft, senior, sales",669,3.9,6,2026-02-18,2026-03-22,58.1,12.8,RemoteOK,True
1686042745,Teleo,Customer Success Technician Intern,Software Development,Remote,Global,"Remote, Global",Remote,30000,6 Months,"technical, test, travel, robotics, senior, operations, engineering",2131,3.9,8,2026-02-18,2026-03-22,59.6,17.1,RemoteOK,True
1988439646,Ping Identity,Senior Sales Engineer Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,30000,3 Months,"technical, cloud, management, senior, sales, engineer",2246,4.7,2,2026-02-18,2026-03-22,67.9,11.8,RemoteOK,True
3435597405,3Pillar,Senior Software Engineer Angular .net Intern,Backend Development,Remote,Global,"Remote, Global",Remote,30000,6 Months,"software, design, salesforce, architect, technical, growth, code, web",1968,4.5,7,2026-02-18,2026-03-22,41.1,18.6,RemoteOK,True
1330602355,Unison Infrastructure,Real Estate Counsel Intern,Data Science,Remote,Global,"Remote, Global",Remote,15000,3 Months,"support, education, investment, management, senior, operations, telecom, health",190,4.6,2,2026-02-18,2026-03-22,71.8,19.2,RemoteOK,True
4041605529,Kyverna Therapeutics,Director CMC Program Management Intern,Data Science,Remote,Global,"Remote, Global",Remote,15000,6 Months,"director, technical, support, finance, management, lead, senior, junior",338,4.4,9,2026-02-18,2026-03-22,53.9,11.3,RemoteOK,True
514570590,Gravie,Senior Recruiter Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,20000,6 Months,"recruiter, senior, health, healthcare, recruiting, non tech",1442,4.0,10,2026-02-18,2026-03-22,66.6,11.0,RemoteOK,True
132055356,HSP Group,Senior Program Manager Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,40000,6 Months,"manager, hr, consulting, support, management, lead, senior, operations",334,4.3,7,2026-02-18,2026-03-22,71.3,7.2,RemoteOK,True
791747248,fastino.ai,AI Engineer Intern,DevOps,Remote,Global,"Remote, Global",Remote,20000,3 Months,"docker, ceo, developer, api, operational, reliability, engineer, engineering",131,4.8,4,2026-02-18,2026-03-22,62.7,8.5,RemoteOK,True
2301636908,Zensurance,Senior Marketing Manager Website Experience Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,3 Months,"manager, design, wordpress, front-end, consultant, technical, support, developer",953,5.0,9,2026-02-18,2026-03-22,89.1,7.5,RemoteOK,True
714944235,Accenture Federal Services,ServiceNow Solution Architect Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,40000,6 Months,"architect, design, system, training, technical, support, developer, cloud",1964,3.8,6,2026-02-17,2026-03-22,80.7,26.2,RemoteOK,True
1410212819,BlastPoint,Technical Project Manager Intern,Data Science,Remote,Global,"Remote, Global",Remote,40000,3 Months,"manager, technical, growth, financial, analytics",1764,4.8,9,2026-02-17,2026-03-22,45.3,18.3,RemoteOK,True
142784102,"ITS Logistics, LLC",VP of Drayage & Intermodal Intern,Data Science,Remote,Global,"Remote, Global",Remote,20000,6 Months,"support, leader, strategy, lead, senior, operational, go",2852,4.8,9,2026-02-17,2026-03-22,40.4,13.4,RemoteOK,True
3273653522,Destination Knot,Customer Service Booking Hotels Online Intern,Software Development,Remote,Global,"Remote, Global",Remote,15000,6 Months,"training, support, travel, sales, non tech",1531,4.6,4,2026-02-17,2026-03-22,40.0,10.4,RemoteOK,True
1761810293,Bloomerang,Inbound Business Development Representative Mountain Central Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,25000,6 Months,"support, marketing, sales",1639,3.9,4,2026-02-17,2026-03-22,64.5,24.0,RemoteOK,True
1194990196,SurveyMonkey,HR Analyst Intern,Data Science,Remote,Global,"Remote, Global",Remote,20000,3 Months,"hr, analyst, system, training, technical, support, payroll, operations",2379,4.5,6,2026-02-17,2026-03-22,40.5,28.9,RemoteOK,True
1667238593,Code.org,Recruiting Partner Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,6 Months,"students, education, recruiting, non tech",2174,4.0,4,2026-02-17,2026-03-22,71.7,23.4,RemoteOK,True
3115396262,Mind Friend PRO,Software Developer Intern,Software Development,Remote,Global,"Remote, Global",Remote,30000,3 Months,"developer, software, full-stack, senior, engineer, digital nomad",366,4.3,8,2026-02-17,2026-03-22,77.7,13.8,RemoteOK,True
3298417555,Huntress,Marketing Campaign Operations Associate Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,7083,6 Months,"saas, security, game, operations, marketing, go, non tech",1898,4.0,10,2026-02-17,2026-03-22,74.3,27.3,RemoteOK,True
579992661,Ethena Labs,Financial Associate Intern,Blockchain,Remote,Global,"Remote, Global",Remote,25000,3 Months,"web3, crypto, back-end, support, software, growth, manager, accounting",2783,4.2,6,2026-02-17,2026-03-22,59.9,15.3,RemoteOK,True
2314468858,Aura,Inside Sales Representative Retention Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,30000,6 Months,"saas, security, consult, support, sales, full-time, non tech",1120,4.0,3,2026-02-17,2026-03-22,86.5,19.8,RemoteOK,True
676877133,Aura,Sales Specialist Upsell Intern,Software Development,Remote,Global,"Remote, Global",Remote,50000,6 Months,"consult, sales, non tech",2678,4.1,4,2026-02-17,2026-03-22,65.0,24.8,RemoteOK,True
2423678590,FeverUp,Senior Software Engineer Intern,Software Development,Remote,Global,"Remote, Global",Remote,20000,6 Months,"software, senior, engineer",2833,4.3,9,2026-02-17,2026-03-22,77.9,24.5,RemoteOK,True
4164487614,InfStones,Growth Marketing Manager Intern,Mobile Development,Remote,Global,"Remote, Global",Remote,25000,3 Months,"growth, manager, web3, node, mobile, management, marketing, analytics",1471,4.8,1,2026-02-17,2026-03-22,72.0,24.8,RemoteOK,True
1052886747,HeyGen,Social Content Creator Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,25000,3 Months,"strategy, content, marketing, non tech",1694,5.0,9,2026-02-17,2026-03-22,84.2,8.7,RemoteOK,True
4068928413,Bloomreach,Software Engineer I Intern,Backend Development,Remote,Global,"Remote, Global",Remote,50000,3 Months,"software, design, system, growth, financial, lead, content, engineer",452,4.5,5,2026-02-17,2026-03-22,45.0,25.6,RemoteOK,True
4009750385,Go RH,Concepteur.trice produits UX UI Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,15000,6 Months,"ui, ux, design, tester, golang, digital nomad",2028,3.8,6,2026-02-17,2026-03-22,51.6,16.3,RemoteOK,True
2576541970,CrossCountry Consulting,Senior Consultant Oracle Implementation Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,20000,3 Months,"consultant, consulting, design, technical, support, travel, financial, management",1087,4.4,9,2026-02-17,2026-03-22,63.0,21.2,RemoteOK,True
1385874249,Coinme,Senior Software Engineer Developer Experience Intern,Full Stack Development,Remote,Global,"Remote, Global",Remote,30000,6 Months,"developer, software, defi, crypto, cryptocurrency, architect, growth, financial",1824,4.2,1,2026-02-17,2026-03-22,50.7,17.1,RemoteOK,True
771951628,OneImaging,Talent Operations Associate Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,6 Months,"support, video, operations, healthcare, recruiting, recruitment, non tech",167,4.7,6,2026-02-17,2026-03-22,60.9,16.7,RemoteOK,True
3006497299,AutogenAI,Principal Proposal Solutions Consultant United States Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,20000,6 Months,"consultant, leader, content",1731,4.8,5,2026-02-17,2026-03-22,59.6,5.7,RemoteOK,True
1517509980,Smartbug Media,Director of Business Development Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,25000,3 Months,"director, architect, technical, growth, web, financial, leader, strategy",2703,4.0,8,2026-02-17,2026-03-22,45.6,8.4,RemoteOK,True
2773891011,SanMar Employee Board,Quality Assurance Specialist Intern,Software Development,Remote,Global,"Remote, Global",Remote,40000,6 Months,"training, support",1870,4.4,8,2026-02-17,2026-03-22,60.8,12.4,RemoteOK,True
3521436757,Reliant,Product Owner Medical Cost Containment & JIRA Expertise Intern,Product Management,Remote,Global,"Remote, Global",Remote,30000,6 Months,"jira, support, c, health, healthcare, non tech",1299,4.6,1,2026-02-17,2026-03-22,48.2,21.1,RemoteOK,True
3318809354,Indian Startup,Salesforce Developer,Software Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,10000,2 Months,"Python, JavaScript, SQL, Git, REST APIs",826,4.1,17,2026-02-20,2026-03-10,52.2,5.9,Internshala,True
2907378947,Indian Startup,React Native/React JS/Node JS,Mobile Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,9000,2 Months,"Python, JavaScript, SQL, Git, REST APIs",1576,4.1,12,2026-02-20,2026-03-23,62.8,25.4,Internshala,True
703162670,Indian Startup,WordPress Development,Data Science,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,5000,4 Months,"Python, JavaScript, SQL, Git, REST APIs",733,4.5,18,2026-02-20,2026-03-23,80.0,10.3,Internshala,True
1402281824,Indian Startup,Automation Engineer,Software Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,10000,2 Months,"Python, JavaScript, SQL, Git, REST APIs",3402,4.1,25,2026-02-20,2026-03-16,67.5,30.5,Internshala,True
655286277,Indian Startup,Product Management,Product Management,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,54000,6 Months,"Python, JavaScript, SQL, Git, REST APIs",3315,3.9,7,2026-02-20,2026-04-04,45.3,22.0,Internshala,True
2465515599,Indian Startup,Full Stack Development,Full Stack Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,7000,3 Months,"Python, JavaScript, SQL, Git, REST APIs",3707,4.6,5,2026-02-20,2026-03-28,70.6,10.0,Internshala,True
646185200,Indian Startup,Full Stack Developer,Full Stack Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,15000,1 Month,"Python, JavaScript, SQL, Git, REST APIs",2212,4.3,22,2026-02-20,2026-03-08,76.1,34.5,Internshala,True
1519789059,Indian Startup,Moderation Executive,Data Science,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,6000,3 Months,"Python, JavaScript, SQL, Git, REST APIs",1356,4.6,22,2026-02-20,2026-03-19,90.4,14.8,Internshala,True
3842376204,Indian Startup,Django,Backend Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,12000,4 Months,"Python, JavaScript, SQL, Git, REST APIs",4209,4.5,21,2026-02-20,2026-03-25,53.2,25.3,Internshala,True
553940925,Indian Startup,Computer Science Internship,Data Science,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,30000,2 Months,"Python, JavaScript, SQL, Git, REST APIs",977,4.3,16,2026-02-20,2026-04-06,87.7,25.1,Internshala,True
3499873123,Indian Startup,DevOps (Kubernetes & Linux),DevOps,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,50000,4 Months,"Python, JavaScript, SQL, Git, REST APIs",1027,4.6,13,2026-02-20,2026-03-12,68.7,20.7,Internshala,True
3609897887,Indian Startup,Web Development,Web Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,8000,4 Months,"Python, JavaScript, SQL, Git, REST APIs",2533,4.8,15,2026-02-20,2026-03-30,46.1,6.5,Internshala,True
771597988,Indian Startup,Hardware Design Engineer,UI/UX Design,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,6000,6 Months,"Python, JavaScript, SQL, Git, REST APIs",1699,4.7,13,2026-02-20,2026-04-04,50.9,5.6,Internshala,True
2855370633,Indian Startup,Mobile App Development,Mobile Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,18000,4 Months,"Python, JavaScript, SQL, Git, REST APIs",385,4.2,21,2026-02-20,2026-03-08,77.4,10.4,Internshala,True
3645098237,Indian Startup,Software Development Engineering (Vibe Coding),Software Development,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,8000,3 Months,"Python, JavaScript, SQL, Git, REST APIs",940,4.9,20,2026-02-20,2026-03-12,51.2,16.5,Internshala,True
