id,company,company_logo,title,domain,city,state,location,type,stipend,duration,duration_months,skills,applications,rating,openings,posted_date,deadline,description,demand_score,growth_trend
11,Zomato,❤️,Data Analyst Intern,Data Science,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,30000,5 Months,5,R|Tableau|SQL|NumPy|Pytest|Deep Learning,154,3.7,13,2025-06-01,2025-08-01,"Exciting Data Analyst Intern opportunity at Zomato in the Data Science domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with R, Tableau, SQL.",38.9,18.9
12,PhonePe,💜,SDN Engineer Intern,Network Engineering,Bangalore,Karnataka,"Bangalore, Karnataka",Remote,35000,4 Months,4,Cisco|Kubernetes|Python|Docker|Plotly|Kotlin,289,4.0,6,2025-12-18,2025-12-18,"Exciting SDN Engineer Intern opportunity at PhonePe in the Network Engineering domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Cisco, Kubernetes, Python.",43.2,4.9
13,CRED,⚫,Android Developer Intern,Mobile Development,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",On-site,60000,5 Months,5,Firebase|Kotlin|REST APIs|Flutter|Weaviate|BigQuery,348,5.0,2,2025-04-20,2025-06-20,"Exciting Android Developer Intern opportunity at CRED in the Mobile Development domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with Firebase, Kotlin, REST APIs.",45.6,18.3
14,Paytm,💎,Frontend Intern,Web Development,Nagpur,Maharashtra,"Nagpur, Maharashtra",Hybrid,8000,5 Months,5,Node.js|REST APIs|TypeScript|React|Jetpack Compose|GraphQL,2844,4.6,8,2025-12-25,2025-12-25,"Exciting Frontend Intern opportunity at Paytm in the Web Development domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Node.js, REST APIs, TypeScript.",47.0,0.8
15,Freshworks,💚,3D Developer Intern,AR/VR Development,Mangalore,Karnataka,"Mangalore, Karnataka",Hybrid,90000,6 Months,6,Unreal Engine|Unity|C++|Three.js|Plotly|GraphQL,2294,4.1,13,2025-10-12,2025-12-12,"Exciting 3D Developer Intern opportunity at Freshworks in the AR/VR Development domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with Unreal Engine, Unity, C++.",67.4,16.9
16,Byju's,🟣,Flutter Developer Intern,Mobile Development,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",Remote,30000,1 Month,1,Kotlin|Firebase|Swift|Flutter|MQTT|Heroku,124,4.4,2,2025-03-18,2025-05-18,"Exciting Flutter Developer Intern opportunity at Byju's in the Mobile Development domain. Work with cutting-edge technology in Noida and gain hands-on experience with Kotlin, Firebase, Swift.",41.4,-2.6
17,Ola,🖤,Quantum ML Intern,Quantum Computing,Surat,Gujarat,"Surat, Gujarat",On-site,22000,4 Months,4,Machine Learning|Qiskit|NumPy|Python|OpenCV|Seaborn,87,3.5,2,2025-10-08,2025-12-08,"Exciting Quantum ML Intern opportunity at Ola in the Quantum Computing domain. Work with cutting-edge technology in Surat and gain hands-on experience with Machine Learning, Qiskit, NumPy.",24.6,18.9
18,Meesho,🩷,ETL Developer Intern,Big Data Engineering,Dehradun,Uttarakhand,"Dehradun, Uttarakhand",Remote,25000,6 Months,6,Airflow|SQL|Python|Databricks|Selenium|Kafka,1461,3.2,3,2025-12-22,2025-12-22,"Exciting ETL Developer Intern opportunity at Meesho in the Big Data Engineering domain. Work with cutting-edge technology in Dehradun and gain hands-on experience with Airflow, SQL, Python.",41.4,27.9
19,Groww,🌟,MEAN Stack Intern,Full Stack Development,Jaipur,Rajasthan,"Jaipur, Rajasthan",Hybrid,6000,1 Month,1,Node.js|MongoDB|TypeScript|React|Git|Scrum,313,3.4,9,2025-11-25,2025-12-25,"Exciting MEAN Stack Intern opportunity at Groww in the Full Stack Development domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with Node.js, MongoDB, TypeScript.",25.1,32.5
20,Zerodha,⭐,NLP Engineer Intern,Natural Language Processing,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",Hybrid,70000,6 Months,6,NLP|LangChain|TensorFlow|BERT|GraphQL|Snowflake,111,4.1,22,2025-01-27,2025-03-27,"Exciting NLP Engineer Intern opportunity at Zerodha in the Natural Language Processing domain. Work with cutting-edge technology in Noida and gain hands-on experience with NLP, LangChain, TensorFlow.",47.5,0.2
21,Reliance Digital,🔵,Visual Designer Intern,UI/UX Design,Delhi NCR,Delhi,"Delhi NCR, Delhi",Remote,15000,2 Months,2,JavaScript|Tailwind CSS|Material UI|HTML/CSS|Scikit-learn|Node.js,1233,4.3,7,2025-06-06,2025-08-06,"Exciting Visual Designer Intern opportunity at Reliance Digital in the UI/UX Design domain. Work with cutting-edge technology in Delhi NCR and gain hands-on experience with JavaScript, Tailwind CSS, Material UI.",44.4,8.4
22,Tata Digital,🏛️,Security Analyst Intern,Cybersecurity,Mangalore,Karnataka,"Mangalore, Karnataka",Remote,20000,2 Months,2,Penetration Testing|Linux|Network Engineering|SQL|Supabase|Hadoop,1230,4.4,1,2025-11-12,2025-12-12,"Exciting Security Analyst Intern opportunity at Tata Digital in the Cybersecurity domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with Penetration Testing, Linux, Network Engineering.",43.1,20.5
23,Accenture India,🟩,ROS Developer Intern,Robotics,Surat,Gujarat,"Surat, Gujarat",Remote,10000,2 Months,2,ROS|Arduino|C++|Computer Vision|Python|Matplotlib,405,3.2,1,2025-11-18,2025-12-18,"Exciting ROS Developer Intern opportunity at Accenture India in the Robotics domain. Work with cutting-edge technology in Surat and gain hands-on experience with ROS, Arduino, C++.",31.3,6.6
24,Deloitte India,🟫,Network Security Intern,Network Engineering,Kochi,Kerala,"Kochi, Kerala",Remote,3000,2 Months,2,Docker|Python|Linux|Cisco|Material UI|Edge Computing,347,4.5,2,2025-09-22,2025-11-22,"Exciting Network Security Intern opportunity at Deloitte India in the Network Engineering domain. Work with cutting-edge technology in Kochi and gain hands-on experience with Docker, Python, Linux.",31.4,0.9
25,IBM India,🟪,Software Engineer Intern,Software Development,Chandigarh,Punjab,"Chandigarh, Punjab",On-site,28000,6 Months,6,Git|Java|C++|Agile|Python|SwiftUI,1096,4.4,4,2025-02-03,2025-04-03,"Exciting Software Engineer Intern opportunity at IBM India in the Software Development domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with Git, Java, C++.",37.6,5.0
26,Adobe India,🔴,ML Engineer Intern,Machine Learning,Nagpur,Maharashtra,"Nagpur, Maharashtra",Remote,70000,5 Months,5,Scikit-learn|Python|NLP|PyTorch|Vite|Unreal Engine,151,4.1,7,2025-08-27,2025-10-27,"Exciting ML Engineer Intern opportunity at Adobe India in the Machine Learning domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Scikit-learn, Python, NLP.",51.3,21.9
27,Oracle India,🟥,Data Analyst Intern,Data Science,Patna,Bihar,"Patna, Bihar",Remote,8000,5 Months,5,Python|R|Power BI|Scikit-learn|Go|ROS,1194,4.7,4,2025-03-01,2025-05-01,"Exciting Data Analyst Intern opportunity at Oracle India in the Data Science domain. Work with cutting-edge technology in Patna and gain hands-on experience with Python, R, Power BI.",42.5,32.7
28,SAP India,🔷,SQL Developer Intern,Database Administration,Jaipur,Rajasthan,"Jaipur, Rajasthan",Remote,80000,3 Months,3,SQL|Python|PostgreSQL|Elasticsearch|Web3.js|Computer Vision,641,4.2,3,2025-04-08,2025-06-08,"Exciting SQL Developer Intern opportunity at SAP India in the Database Administration domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with SQL, Python, PostgreSQL.",56.3,27.2
29,Salesforce India,☁️,Unreal Engine Intern,Game Development,Ranchi,Jharkhand,"Ranchi, Jharkhand",On-site,70000,1 Month,1,C++|Python|C#|Unity|Ansible|Vite,70,3.3,4,2025-10-05,2025-12-05,"Exciting Unreal Engine Intern opportunity at Salesforce India in the Game Development domain. Work with cutting-edge technology in Ranchi and gain hands-on experience with C++, Python, C#.",42.6,-4.5
30,Intel India,🔵,Angular Developer Intern,Frontend Development,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,28000,2 Months,2,HTML/CSS|Next.js|TypeScript|Vue.js|Swagger|RAG,1955,4.5,2,2025-12-23,2025-12-23,"Exciting Angular Developer Intern opportunity at Intel India in the Frontend Development domain. Work with cutting-edge technology in Indore and gain hands-on experience with HTML/CSS, Next.js, TypeScript.",48.0,-1.1
31,Samsung India,🔹,AR/VR Developer Intern,AR/VR Development,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,3000,3 Months,3,Unity|Unreal Engine|OpenCV|Three.js|Supabase|C++,472,3.6,1,2025-06-24,2025-08-24,"Exciting AR/VR Developer Intern opportunity at Samsung India in the AR/VR Development domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with Unity, Unreal Engine, OpenCV.",30.1,7.6
32,Uber India,⚫,Content Developer Intern,Technical Writing,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",Hybrid,40000,6 Months,6,Swagger|HTML/CSS|Git|Markdown|Kafka|JavaScript,323,4.4,1,2025-02-07,2025-04-07,"Exciting Content Developer Intern opportunity at Uber India in the Technical Writing domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Swagger, HTML/CSS, Git.",41.4,31.4
33,Atlassian India,🔵,DBA Intern,Database Administration,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",Remote,20000,5 Months,5,SQL|Elasticsearch|PostgreSQL|Python|Kubernetes|Firebase,2173,4.3,11,2025-03-12,2025-05-12,"Exciting DBA Intern opportunity at Atlassian India in the Database Administration domain. Work with cutting-edge technology in Visakhapatnam and gain hands-on experience with SQL, Elasticsearch, PostgreSQL.",52.4,4.3
34,Cisco India,🔵,Data Pipeline Intern,Big Data Engineering,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh",Remote,3000,6 Months,6,Spark|SQL|Hadoop|Kafka|ROS|Apache,1352,4.6,2,2025-01-21,2025-03-21,"Exciting Data Pipeline Intern opportunity at Cisco India in the Big Data Engineering domain. Work with cutting-edge technology in Bhopal and gain hands-on experience with Spark, SQL, Hadoop.",39.3,6.9
35,VMware India,🟦,SDN Engineer Intern,Network Engineering,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",Remote,30000,2 Months,2,Docker|Python|Networking|Linux|Ethereum|Netlify,1834,4.7,12,2025-07-19,2025-09-19,"Exciting SDN Engineer Intern opportunity at VMware India in the Network Engineering domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Docker, Python, Networking.",54.5,30.0
36,Goldman Sachs,💰,Cloud Engineer Intern,Cloud Computing,Surat,Gujarat,"Surat, Gujarat",Hybrid,28000,1 Month,1,Azure|AWS|Terraform|Docker|Cypress|Recharts,356,4.1,1,2025-11-20,2025-12-20,"Exciting Cloud Engineer Intern opportunity at Goldman Sachs in the Cloud Computing domain. Work with cutting-edge technology in Surat and gain hands-on experience with Azure, AWS, Terraform.",34.3,12.1
37,Morgan Stanley,🏦,Business Intelligence Intern,Data Science,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Remote,45000,6 Months,6,NumPy|Tableau|Pandas|Python|Excel|REST APIs,256,4.6,10,2025-09-23,2025-11-23,"Exciting Business Intelligence Intern opportunity at Morgan Stanley in the Data Science domain. Work with cutting-edge technology in Indore and gain hands-on experience with NumPy, Tableau, Pandas.",48.6,31.9
38,JP Morgan India,💎,MLOps Intern,Machine Learning,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Remote,70000,4 Months,4,Scikit-learn|NLP|PyTorch|Python|Pandas|Terraform,55,3.9,4,2025-08-24,2025-10-24,"Exciting MLOps Intern opportunity at JP Morgan India in the Machine Learning domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Scikit-learn, NLP, PyTorch.",49.7,16.0
39,Deutsche Bank India,🔵,Perception Engineer Intern,Computer Vision,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",On-site,50000,3 Months,3,OpenCV|Deep Learning|PyTorch|Python|Recharts|SEO,482,3.8,3,2025-09-04,2025-11-04,"Exciting Perception Engineer Intern opportunity at Deutsche Bank India in the Computer Vision domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with OpenCV, Deep Learning, PyTorch.",40.6,36.5
40,Barclays India,🏛️,DeFi Engineer Intern,Blockchain,Guwahati,Assam,"Guwahati, Assam",Remote,8000,4 Months,4,Web3.js|JavaScript|Ethereum|Solidity|Hugging Face|Power BI,2340,3.9,2,2025-11-14,2025-12-14,"Exciting DeFi Engineer Intern opportunity at Barclays India in the Blockchain domain. Work with cutting-edge technology in Guwahati and gain hands-on experience with Web3.js, JavaScript, Ethereum.",48.6,20.3
41,HDFC Bank Tech,🔴,Embedded Engineer Intern,Embedded Systems,Mysore,Karnataka,"Mysore, Karnataka",Remote,8000,2 Months,2,C++|Linux|MQTT|Raspberry Pi|WebSocket|Deep Learning,635,3.5,18,2025-10-19,2025-12-19,"Exciting Embedded Engineer Intern opportunity at HDFC Bank Tech in the Embedded Systems domain. Work with cutting-edge technology in Mysore and gain hands-on experience with C++, Linux, MQTT.",35.0,1.7
42,ICICI Tech,🟠,Text Analytics Intern,Natural Language Processing,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",Hybrid,10000,3 Months,3,BERT|TensorFlow|LangChain|NLP|GCP|REST APIs,2675,4.7,2,2025-05-02,2025-07-02,"Exciting Text Analytics Intern opportunity at ICICI Tech in the Natural Language Processing domain. Work with cutting-edge technology in Raipur and gain hands-on experience with BERT, TensorFlow, LangChain.",47.7,36.5
43,SBI Digital,🔵,Content Developer Intern,Technical Writing,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,90000,3 Months,3,Git|API Design|Content Writing|HTML/CSS|Seaborn|RAG,600,3.5,1,2025-02-05,2025-04-05,"Exciting Content Developer Intern opportunity at SBI Digital in the Technical Writing domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Git, API Design, Content Writing.",57.7,1.6
44,Bajaj Finserv,🔷,Database Engineer Intern,Database Administration,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Hybrid,60000,1 Month,1,MongoDB|Redis|Python|SQL|Terraform|Material UI,802,3.5,4,2025-06-25,2025-08-25,"Exciting Database Engineer Intern opportunity at Bajaj Finserv in the Database Administration domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with MongoDB, Redis, Python.",43.1,2.7
45,PolicyBazaar,🟢,Data Science Intern,Data Science,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Hybrid,25000,5 Months,5,Tableau|Python|Power BI|Pandas|REST APIs|Ionic,92,4.2,2,2025-09-13,2025-11-13,"Exciting Data Science Intern opportunity at PolicyBazaar in the Data Science domain. Work with cutting-edge technology in Indore and gain hands-on experience with Tableau, Python, Power BI.",31.2,18.3
46,Nykaa,🩷,MEAN Stack Intern,Full Stack Development,Nagpur,Maharashtra,"Nagpur, Maharashtra",Hybrid,40000,5 Months,5,React|Docker|MongoDB|TypeScript|Edge Computing|Deep Learning,175,3.9,4,2025-09-08,2025-11-08,"Exciting MEAN Stack Intern opportunity at Nykaa in the Full Stack Development domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with React, Docker, MongoDB.",34.8,16.4
47,Dream11,🏏,Autonomous Systems Intern,Robotics,Pune,Maharashtra,"Pune, Maharashtra",Remote,18000,5 Months,5,Python|Linux|TensorFlow|C++|Swift|Unreal Engine,3445,4.4,8,2025-10-17,2025-12-17,"Exciting Autonomous Systems Intern opportunity at Dream11 in the Robotics domain. Work with cutting-edge technology in Pune and gain hands-on experience with Python, Linux, TensorFlow.",61.3,-7.8
48,Unacademy,🟢,APM Intern,Product Management,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",Remote,45000,1 Month,1,SQL|Agile|Excel|Scrum|TensorFlow|Kotlin,267,3.4,7,2025-06-17,2025-08-17,"Exciting APM Intern opportunity at Unacademy in the Product Management domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with SQL, Agile, Excel.",40.0,12.4
49,Vedantu,🟠,Chip Design Intern,Embedded Systems,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,30000,3 Months,3,Raspberry Pi|Linux|Arduino|Python|Jenkins|Vite,416,4.7,4,2025-09-10,2025-11-10,"Exciting Chip Design Intern opportunity at Vedantu in the Embedded Systems domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with Raspberry Pi, Linux, Arduino.",42.2,17.4
50,upGrad,🔴,UI/UX Designer Intern,UI/UX Design,Mysore,Karnataka,"Mysore, Karnataka",Remote,40000,3 Months,3,Adobe XD|HTML/CSS|JavaScript|Figma|Sass/LESS|Pinecone,125,4.7,10,2025-05-09,2025-07-09,"Exciting UI/UX Designer Intern opportunity at upGrad in the UI/UX Design domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Adobe XD, HTML/CSS, JavaScript.",42.5,17.8
51,Scaler,⚡,Embedded Engineer Intern,Embedded Systems,Jaipur,Rajasthan,"Jaipur, Rajasthan",On-site,45000,5 Months,5,Arduino|C++|Linux|Python|Excel|Swift,359,4.9,1,2025-06-18,2025-08-18,"Exciting Embedded Engineer Intern opportunity at Scaler in the Embedded Systems domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with Arduino, C++, Linux.",43.6,34.8
52,Coding Ninjas,🟠,Flutter Developer Intern,Mobile Development,Surat,Gujarat,"Surat, Gujarat",Remote,75000,2 Months,2,Firebase|Kotlin|Swift|Flutter|Cypress|GraphQL,624,4.4,2,2025-04-04,2025-06-04,"Exciting Flutter Developer Intern opportunity at Coding Ninjas in the Mobile Development domain. Work with cutting-edge technology in Surat and gain hands-on experience with Firebase, Kotlin, Swift.",54.7,35.8
53,GeeksforGeeks,🟢,Performance Tester Intern,Quality Assurance,Dehradun,Uttarakhand,"Dehradun, Uttarakhand",Hybrid,45000,4 Months,4,Cypress|Python|Playwright|Postman|LangChain|Bootstrap,878,4.3,3,2025-09-11,2025-11-11,"Exciting Performance Tester Intern opportunity at GeeksforGeeks in the Quality Assurance domain. Work with cutting-edge technology in Dehradun and gain hands-on experience with Cypress, Python, Playwright.",43.0,34.7
54,HackerRank,🟩,Deep Learning Research Intern,Machine Learning,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Hybrid,45000,3 Months,3,Deep Learning|NLP|Pandas|Python|Sass/LESS|Excel,2258,3.5,1,2025-12-26,2025-12-26,"Exciting Deep Learning Research Intern opportunity at HackerRank in the Machine Learning domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Deep Learning, NLP, Pandas.",51.9,32.1
55,Postman,🟠,Backend Developer Intern,Backend Development,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Remote,60000,6 Months,6,Python|Java|Node.js|MongoDB|Machine Learning|FastAPI,383,3.8,6,2025-09-10,2025-11-10,"Exciting Backend Developer Intern opportunity at Postman in the Backend Development domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Python, Java, Node.js.",48.0,33.1
56,Notion India,⚫,Database Engineer Intern,Database Administration,Nagpur,Maharashtra,"Nagpur, Maharashtra",Remote,5000,6 Months,6,MongoDB|Python|PostgreSQL|Elasticsearch|Sequelize|Nginx,1409,4.3,5,2025-03-04,2025-05-04,"Exciting Database Engineer Intern opportunity at Notion India in the Database Administration domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with MongoDB, Python, PostgreSQL.",43.0,13.0
57,Slack India,💜,Microservices Intern,Backend Development,Bangalore,Karnataka,"Bangalore, Karnataka",Hybrid,10000,6 Months,6,REST APIs|Redis|Java|PostgreSQL|NumPy|Adobe XD,653,3.8,12,2025-11-07,2025-12-07,"Exciting Microservices Intern opportunity at Slack India in the Backend Development domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with REST APIs, Redis, Java.",31.7,28.1
58,Figma India,🔴,Flutter Developer Intern,Mobile Development,Mangalore,Karnataka,"Mangalore, Karnataka",On-site,12000,2 Months,2,Flutter|React Native|Swift|REST APIs|Python|Supabase,1895,3.9,6,2025-05-19,2025-07-19,"Exciting Flutter Developer Intern opportunity at Figma India in the Mobile Development domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with Flutter, React Native, Swift.",35.8,3.7
59,Canva India,🔵,Edge Computing Intern,IoT,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Hybrid,10000,6 Months,6,Edge Computing|Python|Arduino|AWS|Hugging Face|Chart.js,381,4.6,12,2025-06-11,2025-08-11,"Exciting Edge Computing Intern opportunity at Canva India in the IoT domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Edge Computing, Python, Arduino.",30.7,11.7
60,Stripe India,💙,Data Analyst Intern,Data Science,Hyderabad,Telangana,"Hyderabad, Telangana",Hybrid,100000,6 Months,6,Python|Scikit-learn|NumPy|R|Kubernetes|Airflow,1794,3.6,8,2025-09-13,2025-11-13,"Exciting Data Analyst Intern opportunity at Stripe India in the Data Science domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with Python, Scikit-learn, NumPy.",62.8,3.7
61,Twilio India,🔴,NOC Intern,Network Engineering,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",On-site,6000,6 Months,6,Docker|Kubernetes|Python|Networking|Angular|Figma,871,4.1,1,2025-10-08,2025-12-08,"Exciting NOC Intern opportunity at Twilio India in the Network Engineering domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with Docker, Kubernetes, Python.",28.5,2.1
62,Spotify India,🟢,Full Stack Engineer Intern,Full Stack Development,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Hybrid,12000,6 Months,6,JavaScript|Docker|React|PostgreSQL|Apache|Pandas,135,4.4,6,2025-06-02,2025-08-02,"Exciting Full Stack Engineer Intern opportunity at Spotify India in the Full Stack Development domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with JavaScript, Docker, React.",30.1,11.8
63,Netflix India,🔴,Product Management Intern,Product Management,Pune,Maharashtra,"Pune, Maharashtra",Hybrid,28000,1 Month,1,Tableau|Agile|JIRA|SQL|Machine Learning|Unreal Engine,54,4.1,6,2025-01-23,2025-03-23,"Exciting Product Management Intern opportunity at Netflix India in the Product Management domain. Work with cutting-edge technology in Pune and gain hands-on experience with Tableau, Agile, JIRA.",32.2,3.5
64,Twitter India,🔵,Network Security Intern,Network Engineering,Nagpur,Maharashtra,"Nagpur, Maharashtra",Hybrid,75000,4 Months,4,Python|Kubernetes|Networking|Linux|Solidity|Firebase,894,3.4,2,2025-07-07,2025-09-07,"Exciting Network Security Intern opportunity at Twitter India in the Network Engineering domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Python, Kubernetes, Networking.",50.0,6.1
65,Meta India,🔵,UI Developer Intern,Frontend Development,Vadodara,Gujarat,"Vadodara, Gujarat",Remote,45000,1 Month,1,Vue.js|HTML/CSS|JavaScript|TypeScript|Deep Learning|Hadoop,1046,3.6,7,2025-06-22,2025-08-22,"Exciting UI Developer Intern opportunity at Meta India in the Frontend Development domain. Work with cutting-edge technology in Vadodara and gain hands-on experience with Vue.js, HTML/CSS, JavaScript.",46.6,-3.4
66,Apple India,⚫,Firmware Developer Intern,Embedded Systems,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Remote,8000,1 Month,1,Raspberry Pi|C++|MQTT|Linux|Ansible|RAG,889,3.4,10,2025-10-27,2025-12-27,"Exciting Firmware Developer Intern opportunity at Apple India in the Embedded Systems domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Raspberry Pi, C++, MQTT.",33.8,1.8
